train_loss,step,epoch
-93.06045532226562,49,0
-235.69174194335938,99,1
-465.3489990234375,149,2
-563.51220703125,199,3
-701.9610595703125,249,4
-1035.061279296875,299,5
-1505.0255126953125,349,6
-1457.562255859375,399,7
-1906.210693359375,449,8
-2899.595458984375,499,9
-4218.87109375,549,10
-4092.7958984375,599,11
-4959.64306640625,649,12
-5073.8525390625,699,13
-5101.373046875,749,14
-8549.36328125,799,15
-10303.830078125,849,16
-7590.1572265625,899,17
-9203.4814453125,949,18
-12665.30078125,999,19
-12457.6962890625,1049,20
-12627.2744140625,1099,21
-15651.18359375,1149,22
-16224.0302734375,1199,23
-17421.150390625,1249,24
-15917.7197265625,1299,25
-21367.23828125,1349,26
-21266.037109375,1399,27
-19781.216796875,1449,28
-24972.888671875,1499,29
-21838.05859375,1549,30
-33173.8984375,1599,31
-28492.37890625,1649,32
-27842.142578125,1699,33
-40209.421875,1749,34
-36277.53125,1799,35
-31224.87890625,1849,36
-33787.6640625,1899,37
-48833.953125,1949,38
-35130.70703125,1999,39
-44923.1640625,2049,40
-51200.6796875,2099,41
-49229.734375,2149,42
-52304.984375,2199,43
-45995.10546875,2249,44
-53018.4609375,2299,45
-47290.96875,2349,46
-56707.28125,2399,47
-54764.0859375,2449,48
-48512.7734375,2499,49
