epoch,train_loss,step
0,-220.67306518554688,49
1,-510.372802734375,99
2,-1369.36181640625,149
3,-1860.88623046875,199
4,-3925.681640625,249
5,-4545.16650390625,299
6,-6093.2138671875,349
7,-9192.54296875,399
8,-11182.02734375,449
9,-13112.9765625,499
10,-14982.75390625,549
11,-19948.53125,599
12,-22868.16796875,649
13,-21915.021484375,699
14,-24114.8515625,749
15,-34602.09375,799
16,-44387.953125,849
17,-39370.7265625,899
18,-50435.65234375,949
19,-59036.54296875,999
20,-50482.7890625,1049
21,-54578.9765625,1099
22,-52090.05078125,1149
23,-74721.7421875,1199
24,-83554.328125,1249
25,-86856.703125,1299
26,-74551.265625,1349
27,-87061.53125,1399
28,-119812.4921875,1449
29,-107337.796875,1499
30,-120777.71875,1549
31,-105223.6953125,1599
32,-142677.75,1649
33,-176744.90625,1699
34,-143270.1875,1749
35,-208961.4375,1799
36,-182723.765625,1849
37,-170234.65625,1899
38,-193558.9375,1949
39,-190669.171875,1999
40,-176393.0625,2049
41,-233090.765625,2099
42,-177921.03125,2149
43,-231903.25,2199
44,-178569.203125,2249
45,-230213.78125,2299
46,-281998.25,2349
47,-219668.109375,2399
48,-260411.9375,2449
49,-266375.84375,2499
